S.no,Tiktoker name,Tiktok name,Subscribers,Subscribers,Views avg.,Views avg.,Likes avg.,Likes avg.,Comments avg.,Comments avg.,Shares avg.,Shares avg.
1,jypestraykids,Stray Kids,13.8M,13800000,6.4M,6400000,2.3M,2300000,50.2K,50200,34.2K,34200
2,khaby.lame,Khabane lame,149.2M,149200000,17.3M,17300000,2.3M,2300000,15.2K,15200,8.7K,8700
3,scarlettsspam2,scarlett,2.1M,2100000,17.9M,17900000,845.8K,845800,53.9K,53900,6.3K,6300
4,addisonre,Addison Rae,88.7M,88700000,22M,22000000,906.6K,906600,7.6K,7600,26.2K,26200
5,belindatok,Belinda,4.8M,4800000,14.2M,14200000,1.5M,1500000,14.5K,14500,15.3K,15300
6,onwardwanna,Wanna🥊,7.5M,7500000,12M,12000000,2M,2000000,20.4K,20400,4.2K,4200
7,therock,The Rock,55.4M,55400000,13.1M,13100000,1.5M,1500000,14.3K,14300,11.9K,11900
8,bizarrap,bzrp,5.8M,5800000,16.2M,16200000,2.7M,2700000,4.2K,4200,6.9K,6900
9,landonbarkerr,Landon Barker,3.8M,3800000,11.7M,11700000,1.2M,1200000,19.1K,19100,15.2K,15200
10,mrbeast,MrBeast,42.2M,42200000,13M,13000000,1.7M,1700000,17.2K,17200,2.1K,2100
11,charlidamelio,charli d’amelio,146.2M,146200000,15.2M,15200000,959.4K,959400,20.8K,20800,4.6K,4600
12,amauryguichon,Amaury Guichon,14.5M,14500000,11.4M,11400000,1.5M,1500000,7.2K,7200,11.8K,11800
13,jetbentlee,Jet,3.9M,3900000,12.4M,12400000,2.2M,2200000,3.6K,3600,6.6K,6600
14,kervo.dolo,Kervo.dolo,10.3M,10300000,5.7M,5700000,1.3M,1300000,7.9K,7900,27.6K,27600
15,ttdramanews,TT Drama Layla,856.3K,856300,6.1M,6100000,1.1M,1100000,16.6K,16600,17.7K,17700
16,mishayoung,Миша Городецкий 🇺🇦,4M,4000000,10.8M,10800000,680K,680000,5.7K,5700,22.5K,22500
17,domelipa,domelipa,58.1M,58100000,10.4M,10400000,1.5M,1500000,9.1K,9100,3.5K,3500
18,kyliejenner,Kylie Jenner,47M,47000000,12.3M,12300000,1.9M,1900000,5.5K,5500,2.6K,2600
19,enhypen,enhypen,12.7M,12700000,4.3M,4300000,1.1M,1100000,24.8K,24800,14.3K,14300
20,kimberly.loaiza,Kimberly Loaiza,67.2M,67200000,8.8M,8800000,1.2M,1200000,12.1K,12100,4.3K,4300
21,ramonvitor,ramonvitor,8.7M,8700000,9.3M,9300000,1.9M,1900000,7.3K,7300,2.4K,2400
22,txt.bighitent,TOMORROW X TOGETHER,18.1M,18100000,3.8M,3800000,1.1M,1100000,27.4K,27400,9.5K,9500
23,emraynea,emraynea,1.1M,1100000,5.1M,5100000,1.4M,1400000,6.6K,6600,13.5K,13500
24,bp_tiktok,blackpinkofficial,31.2M,31200000,4.5M,4500000,839.6K,839600,13.9K,13900,22.2K,22200
25,mtarek.official3,Mohamed Tarek - محمد طارق,1.3M,1300000,4.7M,4700000,864.2K,864200,21.9K,21900,8K,8000
26,zeth,Zeth,13M,13000000,8.5M,8500000,1.7M,1700000,2.2K,2200,6.2K,6200
27,kurtsworld,Kurt Kunkle,1.3M,1300000,4.9M,4900000,685.9K,685900,30.1K,30100,3.3K,3300
28,joshtgodfrey,Josh Godfrey,285.5K,285500,6.4M,6400000,587.6K,587600,12.8K,12800,16.3K,16300
29,justinflom,JustinFlom,6.1M,6100000,12.9M,12900000,789.2K,789200,4.5K,4500,6.2K,6200
30,williesalim,WILLIE SALIM,15.5M,15500000,8.1M,8100000,589.2K,589200,17.4K,17400,5.4K,5400
31,rosalia,La Rosalia,25.5M,25500000,14.2M,14200000,1.2M,1200000,3.3K,3300,2.6K,2600
32,birovr,Biro,3M,3000000,6.4M,6400000,760.9K,760900,6.1K,6100,14.3K,14300
33,kiet.ac.quy,Kiệt Ắk Wỷ,3.3M,3300000,5.2M,5200000,842.2K,842200,12.3K,12300,8.5K,8500
34,threedotcorey,corey,4.9M,4900000,6.3M,6300000,1.4M,1400000,2.9K,2900,7.1K,7100
35,iamferv,Fernanda,31.5M,31500000,6.6M,6600000,962.3K,962300,10K,10000,3.9K,3900
36,winnermaxyt,WinnerMax,4.5M,4500000,13.8M,13800000,1M,1000000,1.8K,1800,4.5K,4500
37,devankey,Devan Key,8M,8000000,6.9M,6900000,976.2K,976200,8.6K,8600,3.7K,3700
38,yunggravy,Yung Gravy 🍯,6.6M,6600000,9.5M,9500000,1.4M,1400000,3.5K,3500,2.7K,2700
39,siscakohl,Sisca Kohl,12.4M,12400000,9.2M,9200000,1.1M,1100000,6.2K,6200,1.8K,1800
40,lexibrookerivera,Lexi Rivera,23.2M,23200000,7.5M,7500000,992.5K,992500,8.5K,8500,1.8K,1800
41,leith1423,Leithal,1.1M,1100000,7.9M,7900000,1.3M,1300000,3.8K,3800,3.2K,3200
42,imeyhou,Meyden,3M,3000000,9M,9000000,799.5K,799500,8K,8000,1.6K,1600
43,b.blek,b.blek,2.6M,2600000,8M,8000000,616.7K,616700,6.4K,6400,7.4K,7400
44,mc.pedrinhoofc,Mc Pedrinho,5M,5000000,8.2M,8200000,1.2M,1200000,5K,5000,2K,2000
45,jennmelon,Jenn Melon,2.2M,2200000,5.5M,5500000,1.4M,1400000,3.8K,3800,4.9K,4900
46,nilered,NileRed,10.3M,10300000,6M,6000000,1M,1000000,4.4K,4400,6.3K,6300
47,zhangxi_acupuntura,doctor Zhang Xi,2.9M,2900000,7M,7000000,378.5K,378500,1.5K,1500,22.5K,22500
48,pongamoslo_a_prueba,Pongámoslo a Prueba,36.7M,36700000,9.3M,9300000,1.6M,1600000,2.3K,2300,2K,2000
49,itsmacdoogle,ItsMacDoogle,1.8M,1800000,3.9M,3900000,685.9K,685900,10.1K,10100,13K,13000
