Tiktoker name,Tiktok name,Subscribers count,Subscribers count,Views avg.,Views avg.,Likes avg,Likes avg,Comments avg.,Comments avg.,Shares avg,Shares avg
ekin.721,MOMO’s,221.7K,221700,26M,26000000,2.8M,2800000,29.4K,29400,116.4K,116400
dojacat,Doja Cat,22.2M,22200000,25.4M,25400000,5M,5000000,36.7K,36700,46.8K,46800
kiet.ac.quy,Kiệt Ắk Wỷ,2.1M,2100000,20.7M,20700000,3.5M,3500000,38.8K,38800,33.9K,33900
charlidamelio,charli d’amelio,135.4M,135400000,18.7M,18700000,2.6M,2600000,54.7K,54700,35.2K,35200
luvadepedreiro,Iran Ferreira (Lai),11.4M,11400000,24.8M,24800000,2.6M,2600000,32.7K,32700,26.8K,26800
badbunny,Bad Bunny,16.1M,16100000,17.6M,17600000,4M,4000000,28K,28000,26.2K,26200
khaby.lame,Khabane lame,135.2M,135200000,17.7M,17700000,2.3M,2300000,18K,18000,11.2K,11200
leomahalo,Leo Mahalo,6.8M,6800000,19M,19000000,2.2M,2200000,11.8K,11800,14.4K,14400
swagboygorringe,Daniel Gorringe,5.6M,5600000,9.9M,9900000,1.8M,1800000,25.3K,25300,35.9K,35900
jennmelon,Jenn Melon,2M,2000000,11M,11000000,2.3M,2300000,15.1K,15100,24.5K,24500
jounggustav,Joung Gustav,1.9M,1900000,16.4M,16400000,2.2M,2200000,9.9K,9900,13.4K,13400
txt.bighitent,TOMORROW X TOGETHER,16.2M,16200000,7.7M,7700000,1.8M,1800000,33.2K,33200,12.2K,12200
pongamoslo_a_prueba,Pongámoslo a Prueba,30.4M,30400000,16M,16000000,2.5M,2500000,6.3K,6300,7.3K,7300
bdylanhollis,B. Dylan Hollis,7.6M,7600000,8.6M,8600000,1.6M,1600000,11.5K,11500,20K,20000
lyczak,👑Łyczuu👑,1.5M,1500000,11.8M,11800000,1.4M,1400000,16.1K,16100,8.6K,8600
juandamc,JuanDa.,17.1M,17100000,7.5M,7500000,1.7M,1700000,9.1K,9100,19.5K,19500
lifeinanimati0n,A <3,745.2K,745200,6.2M,6200000,1.1M,1100000,8.8K,8800,40.2K,40200
zlusha,Zlusha,2M,2000000,7.2M,7200000,1.1M,1100000,12.9K,12900,29.5K,29500
amauryguichon,Amaury Guichon,5.4M,5400000,11M,11000000,1.6M,1600000,5.8K,5800,13.3K,13300
eupereiraoficial,Eu Pereira,4.6M,4600000,12.2M,12200000,1.2M,1200000,5.7K,5700,11.5K,11500
druskitv,DRUSKI,3.2M,3200000,6.4M,6400000,1.2M,1200000,7.7K,7700,25.9K,25900
adrianbliss,Adrian Bliss,5.2M,5200000,7.7M,7700000,1.5M,1500000,5.4K,5400,16K,16000
kimberly.loaiza,Kimberly Loaiza,61M,61000000,9.9M,9900000,1.3M,1300000,14.1K,14100,4.5K,4500
deborahyowa,Deborah yowa,10.3M,10300000,12.6M,12600000,688.7K,688700,17K,17000,9.1K,9100
nekoglai,Николай,9.4M,9400000,8.5M,8500000,982.3K,982300,22.5K,22500,4.4K,4400
domelipa,Dominik,50.7M,50700000,7.9M,7900000,1.2M,1200000,17.3K,17300,6.2K,6200
diego.cr_,Diego Rodríguez,238.1K,238100,9.1M,9100000,845K,845000,9.1K,9100,19.5K,19500
addisonre,Addison Rae,87.3M,87300000,9.3M,9300000,1.2M,1200000,13.4K,13400,5.9K,5900
mastertingus,mastertingus,1.5M,1500000,4.2M,4200000,859.2K,859200,25.1K,25100,33.8K,33800
santandave,Santan,1.1M,1100000,6.2M,6200000,1M,1000000,21.3K,21300,12K,12000
machinegunkelly,Colson,3.4M,3400000,10.8M,10800000,822.6K,822600,13.7K,13700,9K,9000
bellapoarch,Bella Poarch,88.5M,88500000,11.1M,11100000,1M,1000000,14.3K,14300,1.6K,1600
daddyyankee,daddyyankee,10.4M,10400000,6M,6000000,696.3K,696300,18.1K,18100,20.6K,20600
official_nct,NCT Official,7.3M,7300000,3.2M,3200000,1.2M,1200000,23.1K,23100,17.6K,17600
zeth,Zeth,10.8M,10800000,6.6M,6600000,1.3M,1300000,4.1K,4100,12.8K,12800
larrayeeee,LARRAY,25.6M,25600000,5.4M,5400000,1.2M,1200000,17.6K,17600,4.1K,4100
mrbeast,MrBeast,34.7M,34700000,6.8M,6800000,1.1M,1100000,16.1K,16100,1.5K,1500
jypestraykids,Stray Kids,10.8M,10800000,2.9M,2900000,1.1M,1100000,27.6K,27600,12K,12000
iamferv,Fernanda,26.1M,26100000,7.8M,7800000,1.1M,1100000,10.3K,10300,3.8K,3800
nicocaponecomedy,nicocapone.comedy,20.3M,20300000,11.8M,11800000,691.8K,691800,3.9K,3900,10.2K,10200
honeybobabear,HoneyBobaBear,7.8M,7800000,10.1M,10100000,1.4M,1400000,5K,5000,2.4K,2400
masondenverr,mason,2M,2000000,4.4M,4400000,1.2M,1200000,7.3K,7300,11.3K,11300
nicoletv,Kayla Nicole,10.2M,10200000,6.1M,6100000,999.3K,999300,4.9K,4900,10K,10000
aquajock_h2bro,JæBæ,509.7K,509700,5.4M,5400000,966.4K,966400,5.4K,5400,10.6K,10600
terryreloaded,Terry Reloaded,3.9M,3900000,4.9M,4900000,1M,1000000,6.3K,6300,10.2K,10200
soysuco,soysuco,9.6M,9600000,6.3M,6300000,999.5K,999500,11.1K,11100,2K,2000
itzyofficial,ITZY,7.3M,7300000,4.7M,4700000,1.2M,1200000,10.4K,10400,3.6K,3600
oldtimehawkey,Old Time Hawkey,5.1M,5100000,4.8M,4800000,831.6K,831600,11K,11000,7K,7000
missionaryjack,Jack Harlow,3.3M,3300000,8.3M,8300000,837K,837000,4.9K,4900,5.5K,5500
conormaynard,Conor Maynard,6.2M,6200000,5.8M,5800000,794.3K,794300,8.9K,8900,6.6K,6600
conormaynard,Conor Maynard,6.2M,6200000,5.8M,5800000,794.3K,794300,8.9K,8900,6.6K,6600
itssassagurl,Sassa Gurl,5.3M,5300000,6M,6000000,969.6K,969600,6.2K,6200,6K,6000
terryreloaded,Terry Reloaded,4M,4000000,4.4M,4400000,955.3K,955300,6.2K,6200,9.4K,9400
jimmydarts,Jimmy Darts,8.1M,8100000,5.3M,5300000,893.4K,893400,10.3K,10300,2.9K,2900
alshad95,Alshad Ahmad,1.6M,1600000,7.3M,7300000,761.9K,761900,6.2K,6200,5K,5000
bayashi.tiktok,バヤシ🥑Bayashi,24.1M,24100000,7.7M,7700000,958K,958000,5.8K,5800,2.5K,2500
rosalia,La Rosalia,18.3M,18300000,9.8M,9800000,978.5K,978500,3.8K,3800,2.3K,2300
daniel.labelle,Daniel LaBelle,25.5M,25500000,4.6M,4600000,754.9K,754900,5.5K,5500,11.8K,11800
masonmount,Mason Mount,2.8M,2800000,4.8M,4800000,806.9K,806900,9.9K,9900,5.1K,5100
theandrewschulz,Andrew Schulz,3M,3000000,4M,4000000,602.2K,602200,2.2K,2200,21.6K,21600
activesufi,activesufi,364.6K,364600,13.8M,13800000,1.1M,1100000,2.2K,2200,1.5K,1500
hayleygeorgiamorris,Hayley Morris,2.9M,2900000,4.6M,4600000,586.9K,586900,1.9K,1900,18.4K,18400
lilnasx,lil nas x,27.7M,27700000,5.7M,5700000,804.6K,804600,9K,9000,3K,3000
willsmith,Will Smith,67.4M,67400000,6.9M,6900000,658.5K,658500,10K,10000,2K,2000
clarissaperezlara,Clari,129.5K,129500,3.9M,3900000,370K,370000,2.7K,2700,34.2K,34200
spriteder_spd,Prite Netijen Netirattanapaiboon,2.7M,2700000,8M,8000000,924.8K,924800,3.7K,3700,3.5K,3500
paytonking,Payton King,5.1M,5100000,2.8M,2800000,685.4K,685400,11.8K,11800,15.8K,15800
lexibrookerivera,Lexi Rivera,21.1M,21100000,7M,7000000,937.4K,937400,6.2K,6200,1.9K,1900
snoopdogg,Snoop Dogg,19.7M,19700000,7.4M,7400000,647.2K,647200,6.6K,6600,4.3K,4300
tuckerbudzyn,tuckerbudzyn,10.1M,10100000,4M,4000000,638.6K,638600,3.3K,3300,16.7K,16700
jaykindafunny8,Jaykindafunny,23.3M,23300000,9.6M,9600000,685.7K,685700,2.4K,2400,5.2K,5200
solsito.pe,Solsito.pe,80.2K,80200,3.5M,3500000,503.1K,503100,10.6K,10600,17.8K,17800
jake2r,"Jake2r, Ph.D.",2.1M,2100000,2.8M,2800000,739.6K,739600,5.2K,5200,17.1K,17100
thejoeyswoll,Joey Swoll,2.4M,2400000,5.3M,5300000,804.5K,804500,8.4K,8400,2.5K,2500
kallmekris,Kris HC,43.3M,43300000,5.4M,5400000,988K,988000,5.5K,5500,3.1K,3100
jdpantoja,JD Pantoja,26.8M,26800000,4.8M,4800000,942.2K,942200,8.7K,8700,1.3K,1300
datvilla94,🔥Đạt Villa🔥,5.2M,5200000,5.7M,5700000,659.1K,659100,8.1K,8100,3.1K,3100
haileybieber,Hailey Bieber,7.7M,7700000,5.7M,5700000,810.5K,810500,6.3K,6300,2.7K,2700
big.johns,Big Johns,140.3K,140300,3.1M,3100000,476.5K,476500,18.4K,18400,8.7K,8700
cleanpuppy,Chloe Cherry,1.7M,1700000,4.8M,4800000,980.2K,980200,5.7K,5700,2.9K,2900
arabstay,𝕊𝕥𝕣𝕒𝕪 𝕜𝕚𝕕𝕤,219K,219000,2.6M,2600000,770.2K,770200,11.7K,11700,8.2K,8200
aitch12,Aitch,1.8M,1800000,5.3M,5300000,421.1K,421100,7.6K,7600,9.8K,9800
doctorgraves,Dr.Graves,2.7M,2700000,5M,5000000,879.7K,879700,2.8K,2800,5.9K,5900
fredziownik_art,Franek Bielak,11.8M,11800000,6.3M,6300000,781.9K,781900,6.5K,6500,1.2K,1200
vibin.wit.tay,Tay,3.3M,3300000,3.3M,3300000,689.4K,689400,4K,4000,12.6K,12600
cedriklorenzen,Cedrik Lorenzen,2.1M,2100000,4M,4000000,457K,457000,7.9K,7900,12.4K,12400
vanessalopesr,Vanessa Lopes,21.3M,21300000,5.9M,5900000,637.1K,637100,6.4K,6400,2.9K,2900
rustam_mayer_djavid,RUSTAM MAYER,4.3M,4300000,7.8M,7800000,390.8K,390800,1.6K,1600,9.7K,9700
soojinicoreana,Chingu Amiga,17.3M,17300000,6.5M,6500000,1M,1000000,3.9K,3900,1.4K,1400
jinisprotips,💡 Jini 💡,713.7K,713700,3.7M,3700000,467.6K,467600,6.9K,6900,12.9K,12900
esen_alva,Esen,3.1M,3100000,3.3M,3300000,536.3K,536300,3.3K,3300,15.5K,15500
drew.nori,Drew Nori,4.7M,4700000,8.1M,8100000,387.9K,387900,9.7K,9700,733,733
wuesilva,Wue Silva,11.8M,11800000,4.5M,4500000,584K,584000,10.6K,10600,1.8K,1800
thallyssonsb,Thallysson Borges,8.5M,8500000,3.6M,3600000,629K,629000,6K,6000,8.2K,8200
natemyburgh,Nate,306.4K,306400,3.4M,3400000,724.9K,724900,3.6K,3600,9K,9000
soso_aroundtheworld,Sosonebieridze,109.8K,109800,3M,3000000,420K,420000,10.8K,10800,13.2K,13200
newboyjosh,Newboyjosh,340.5K,340500,4M,4000000,445K,445000,6.4K,6400,10.4K,10400
initiaraandini,tiara andini,4.1M,4100000,7.4M,7400000,651.6K,651600,4.4K,4400,1.8K,1800
iamkevingates,Kevin Gates,2.1M,2100000,3.5M,3500000,413.6K,413600,9.4K,9400,11.3K,11300
max7424453118,Max Taylor,2.8M,2800000,3.5M,3500000,572.6K,572600,5.2K,5200,9.5K,9500
danya_milokhin,danya_milokhin,16.5M,16500000,6.3M,6300000,733.2K,733200,4.6K,4600,1.7K,1700
samanthalogan,Samantha Logan,1.8M,1800000,6M,6000000,840.9K,840900,3K,3000,2.8K,2800
jakekrantz1,Jake Krantz,2.1M,2100000,3.6M,3600000,772.3K,772300,3.2K,3200,7.1K,7100
fujiiian,Fuji,12.7M,12700000,6.2M,6200000,760.4K,760400,3.4K,3400,2.6K,2600
vincentmarcus,VincentMarcus,2.5M,2500000,10.7M,10700000,250.4K,250400,2.3K,2300,8.2K,8200
hongthanhofficial,HongThanhOfficial,1.3M,1300000,7.7M,7700000,675.6K,675600,2.7K,2700,2.7K,2700
kervo.dolo,Kervo.dolo,7.5M,7500000,3.9M,3900000,606.4K,606400,4.4K,4400,7.1K,7100
zachjustice,Zach Justice,3.9M,3900000,6M,6000000,793.7K,793700,1K,1000,4.6K,4600
qamar_altaey,𓆩𝑄𝐴𝑀𝐴𝑅¹⁶𓆪,2.8M,2800000,3.6M,3600000,348K,348000,10.2K,10200,10.8K,10800
fortnitekanal.exe,Fortnitekanal.exe,1.4M,1400000,2.2M,2200000,539.4K,539400,14K,14000,7.8K,7800
m.wardy_14,وردى,67.6K,67600,1.9M,1900000,465.5K,465500,3.8K,3800,24.8K,24800
ynchq,ЯN,3.7M,3700000,3.9M,3900000,645.1K,645100,4.1K,4100,5.8K,5800
