Rank,Tiktoker name,Tiktok name,followers,views(avg),views(avg),likes(avg.),likes(avg.),comments(avg.),comments(avg.),shares(avg.),shares(avg.)
1,mrbeast,MrBeast,60.3M,29.2M,29200000,3.5M,3500000,30.8K,30800,7.2K,7200
2,karolg,Karol G,42.4M,23.7M,23700000,3.4M,3400000,21.7K,21700,25.7K,25700
3,yzn47,يزن الأسمر,8.9M,48.9M,48900000,998.4K,998400,16.3K,16300,60.9K,60900
4,centralcee,CentralCee,4.4M,19.8M,19800000,3.6M,3600000,23.3K,23300,24.2K,24200
5,adinross,adin,6.1M,21.1M,21100000,3.3M,3300000,17.5K,17500,25.3K,25300
6,thebrandonrobert,Brandon Robert,11.6M,13.2M,13200000,2.9M,2900000,5.7K,5700,50.5K,50500
7,mishayoung,Міша Городецький 🇺🇦,4.5M,21.5M,21500000,2.4M,2400000,16.3K,16300,24.5K,24500
8,yailinlamasviraloficial_,Yailin La Más Viral,6.1M,25M,25000000,1.7M,1700000,16.6K,16600,5.3K,5300
9,daniel.labelle,Daniel LaBelle,28.4M,18.6M,18600000,1.8M,1800000,7.5K,7500,19K,19000
10,amauryguichon,Amaury Guichon,18.4M,16.2M,16200000,1.6M,1600000,7.8K,7800,21.4K,21400
11,urbantheory_,Urban Theory,19.8M,18.5M,18500000,1.9M,1900000,5.4K,5400,16.3K,16300
12,enhypen,enhypen,13.3M,5.7M,5700000,1.7M,1700000,35K,35000,25.3K,25300
13,conangray,conangray,7M,8M,8000000,2.2M,2200000,12.7K,12700,19.3K,19300
14,elissadeheart,Elissa DeHeart,2.5M,7.5M,7500000,1.9M,1900000,20.8K,20800,15.5K,15500
15,im.camber,Camber,94K,6.4M,6400000,1.2M,1200000,4.2K,4200,37.5K,37500
16,matt_rife,Matt Rife,6.1M,8.5M,8500000,1.6M,1600000,5.6K,5600,16.1K,16100
17,khaby.lame,Khabane lame,153.1M,10.6M,10600000,1.2M,1200000,20.8K,20800,2.3K,2300
18,fadiljaidi,Fadil Jaidi,9.2M,12.7M,12700000,1.7M,1700000,7.6K,7600,4.4K,4400
19,rosalia,La Rosalia,28.1M,10.6M,10600000,1.2M,1200000,6.1K,6100,8.5K,8500
20,juandamc,JuanDa.,19.7M,8.1M,8100000,2M,2000000,5.2K,5200,5.2K,5200
21,twitchtok7,tWitch,5.6M,12.1M,12100000,678.2K,678200,11.7K,11700,6.5K,6500
22,anaraquelhz,Raquel,5.7M,6.5M,6500000,576.1K,576100,4.3K,4300,34.3K,34300
23,karadenizli.maceraci,KARADENİZLİ MACERACI,1.8M,18.7M,18700000,914.1K,914100,2.7K,2700,5.7K,5700
24,lexibrookerivera,Lexi Rivera,24.8M,11.3M,11300000,1.5M,1500000,5.6K,5600,2.4K,2400
25,hotspanishmx,HotSpanish,11.9M,11.2M,11200000,1M,1000000,6.1K,6100,5.9K,5900
26,surthycooks,Surthycooks,19.9M,11.5M,11500000,1.3M,1300000,6.3K,6300,1.4K,1400
27,nicollefigueroaa,Nicolle Figueroa,15.5M,13M,13000000,1.6M,1600000,4.2K,4200,1.3K,1300
