Tiktoker,influencer name,Subscribers count,Subscribers count,Views avg.,Views avg.,Likes avg,Likes avg,Comments avg.,Comments avg.,Shares avg,Shares avg
___nicoichi___,NICO【平成フラミンゴ】,1.3M,1300000,1.9M,1900000,225.3K,225300,1.7K,1700,1.1K,1100
_.anime.edits_0,video,97K,97000,1.7M,1700000,75.6K,75600,1.5K,1500,8.7K,8700
_.respect.boss._,Respect compilation 🤝🥶,1.5M,1500000,4.4M,4400000,241.9K,241900,249,249,797,797
_.the.meme.hub._,RANDOM MEMES,2.3M,2300000,3.8M,3800000,787.7K,787700,2.9K,2900,9K,9000
_andrewcurtiss,Andrew Curtis,2.5M,2500000,1.4M,1400000,300.4K,300400,5.8K,5800,4K,4000
_emil_official,EMİL❤️,600.9K,600900,2.5M,2500000,61.9K,61900,1.2K,1200,9.5K,9500
_ikyikyyy,ikyikyyy,3.1M,3100000,1.5M,1500000,185.3K,185300,1.5K,1500,1.6K,1600
_jennifernierva,Jennifer Nierva,1M,1000000,2.4M,2400000,321.1K,321100,1.9K,1900,1K,1000
_mister_z,Marco Zedda,4.9M,4900000,2.3M,2300000,407.3K,407300,3.2K,3200,3K,3000
_nch04,𝐍𝐠𝐮𝐲𝐞̂̃𝐧 𝐇𝐚̉𝐢,4.9M,4900000,3.9M,3900000,235.3K,235300,1.3K,1300,1.2K,1200
_space.draws_,Space Draws,2.6M,2600000,2M,2000000,227.1K,227100,1.6K,1600,817,817
_subtitulos_,KUWTK,92.8K,92800,3.4M,3400000,432.7K,432700,960,960,690,690
_surya_editz_,😈,551.2K,551200,3.5M,3500000,330.6K,330600,1.1K,1100,2.1K,2100
_xochitl.gomez,Xóchitl Gómez,4.4M,4400000,6.1M,6100000,1.1M,1100000,9,9,3.4K,3400
_xsyalisx_,Nya uwu xd,144.3K,144300,1.8M,1800000,347.5K,347500,2.4K,2400,2.7K,2700
.jmwalton,𝙅 ⚡️,1.2M,1200000,3.4M,3400000,667K,667000,15.3K,15300,5.6K,5600
1642l4,عطوي خانته سود الليالي,15K,15000,1.3M,1300000,64.2K,64200,2.8K,2800,13.6K,13600
1asos,اسراء فرج,3.5M,3500000,2.5M,2500000,174.3K,174300,1.2K,1200,1.4K,1400
230.s,نصائح واخبار فيفا.,13.6K,13600,2.2M,2200000,159.2K,159200,1.5K,1500,1.3K,1300
42psy42,PSY,3.9M,3900000,2.5M,2500000,417.8K,417800,2.2K,2200,1.2K,1200
4q2y,دنوو,1.5M,1500000,1.7M,1700000,140.2K,140200,3.6K,3600,1.2K,1200
7uss.n,حسين الحريبي🌻,1.5M,1500000,2.2M,2200000,225.5K,225500,2.2K,2200,2.5K,2500
aachoyy,chaa ˚◞♡,494.9K,494900,2.4M,2400000,356.2K,356200,2.4K,2400,519,519
abba,ABBA,2.5M,2500000,10.1M,10100000,2M,2000000,7.6K,7600,8K,8000
abbieherbert,AbbieHerbert,13.2M,13200000,4.2M,4200000,557K,557000,1.4K,1400,959,959
abir.sag,Abir e sag,12.7M,12700000,3.9M,3900000,302.8K,302800,2.1K,2100,2.1K,2100
aboody_kareem,عبودي كريم,7.2M,7200000,1.5M,1500000,167.7K,167700,2.6K,2600,1.5K,1500
actressbecc,Becca Bastos,1.4M,1400000,745.2K,745200,207.4K,207400,1.5K,1500,3.7K,3700
actually.average,Reed,1.2M,1200000,1.1M,1100000,320.9K,320900,4K,4000,3K,3000
adammilardovicc,Adammilardovic,8.1M,8100000,2.2M,2200000,184.8K,184800,1.6K,1600,943,943
adamsilvera,Adam Silvera,93.7K,93700,2.2M,2200000,616.3K,616300,6K,6000,4.6K,4600
addisonre,Addison Rae,88M,88000000,7.5M,7500000,704.3K,704300,4.3K,4300,2K,2000
adi.syahreza,Adi Syahreza,7M,7000000,2.2M,2200000,278.7K,278700,1.9K,1900,1.8K,1800
adrianbliss,Adrian Bliss,6M,6000000,3M,3000000,479K,479000,1.5K,1500,4.8K,4800
adrilatinatv,adrilatinatv,25.6M,25600000,3.1M,3100000,243.4K,243400,1.5K,1500,190,190
aemilst,ems,1.3M,1300000,1.5M,1500000,224.3K,224300,2K,2000,3.4K,3400
aerilzafrel8,aerilzafrel,1.9M,1900000,2.3M,2300000,216.8K,216800,4.7K,4700,1.8K,1800
aespa_official,aespa official,5M,5000000,9.5M,9500000,2.2M,2200000,33.9K,33900,29.2K,29200
aichangemoy_,YT : AiChan TV,8.4M,8400000,2.7M,2700000,250.5K,250500,3.2K,3200,2.6K,2600
aiki_kr,아이키 Aiki,2.1M,2100000,1.9M,1900000,361.4K,361400,1.7K,1700,1.3K,1300
ailaughatmyownjokes,"it's a me, Silvia :)",1.9M,1900000,1.4M,1400000,340.4K,340400,1.4K,1400,4.3K,4300
ajkhiphop,kelil,36.5K,36500,4.6M,4600000,670.6K,670600,686,686,355,355
akamztwenty20,Akamz,20.4M,20400000,3.8M,3800000,410.5K,410500,1.3K,1300,1.7K,1700
akgunnice,GÖZDE AKGÜN,2.4M,2400000,4.6M,4600000,143K,143000,1.3K,1300,436,436
akramadinas,AK,3.9M,3900000,1.6M,1600000,374.6K,374600,3.1K,3100,1.2K,1200
albert_cancook,albert_cancook,6.7M,6700000,6.2M,6200000,524.9K,524900,1.9K,1900,2.1K,2100
albertinasacaca,Albertina sacaca1,1.5M,1500000,4M,4000000,464.4K,464400,2.4K,2400,787,787
albertinasacaca1,Albertina Sacaca Cal,4.8M,4800000,2.5M,2500000,226.1K,226100,2.5K,2500,575,575
alejandrodelcarpio96,Alejandro del Carpio,148.6K,148600,2.5M,2500000,233.8K,233800,1.5K,1500,255,255
alex_abt,AlexAbt,109K,109000,2.3M,2300000,371.5K,371500,592,592,307,307
alexbatistao,Alex ramos22,3.2K,3200,951.7K,951700,46.6K,46600,1.7K,1700,19.4K,19400
alexitoxedits,ALEX <3,2.8M,2800000,966K,966000,276.7K,276700,2.5K,2500,3.3K,3300
alexwaarren,Alex warren,15.3M,15300000,2.7M,2700000,643.7K,643700,635,635,417,417
alezha.obukhov,Алежа Обухов,681.2K,681200,2.2M,2200000,251.1K,251100,697,697,1.2K,1200
alfaanm,alfan,101.1K,101100,647.2K,647200,45.7K,45700,1K,1000,35.7K,35700
ali.samir11,علي سمير,2.5M,2500000,1.7M,1700000,215.7K,215700,6.7K,6700,982,982
aliciasaavedra_,@aliciastylish,353.1K,353100,4.9M,4900000,113.8K,113800,1.3K,1300,25.8K,25800
alliep.andrews2nd,allieandrews,31.4K,31400,3.1M,3100000,432.6K,432600,1.4K,1400,750,750
alrslani20,المنشد/ماجد الرسلاني,499.8K,499800,2.3M,2300000,100.2K,100200,2.1K,2100,4.7K,4700
alteregofanbase7,𝘼𝙇𝙏𝙀𝙍𝙃𝙊𝙇𝙄𝘾,178.7K,178700,2.6M,2600000,267.3K,267300,560,560,654,654
alxjames,Alx James,2.1M,2100000,1.7M,1700000,278.5K,278500,1.9K,1900,9.7K,9700
amauryguichon,Amaury Guichon,11.2M,11200000,17M,17000000,1.4M,1400000,10.7K,10700,15.2K,15200
amrmaskoun,Amrmaskoun,967K,967000,2M,2000000,169.9K,169900,2.1K,2100,1.8K,1800
ana_eusse,Ana Maria,11.7M,11700000,2.4M,2400000,343.6K,343600,1K,1000,166,166
analisseworld,Analisseworld,10.3M,10300000,2.3M,2300000,418.7K,418700,926,926,1K,1000
anaraquelhz,Raquel,4M,4000000,1.6M,1600000,185.9K,185900,1.4K,1400,6.8K,6800
anas_elshayib,انس الشايب,3.9M,3900000,3.1M,3100000,182.1K,182100,4.6K,4600,1.9K,1900
andcarli,Anderson Carli,8.1M,8100000,7M,7000000,236.5K,236500,1.3K,1300,589,589
andremastijan,andre,723.7K,723700,5.2M,5200000,360K,360000,2.7K,2700,12.5K,12500
andy.and.michelle,Andy & Michelle,4.4M,4400000,2.8M,2800000,399.9K,399900,1.8K,1800,4.6K,4600
anitta,Anitta,20M,20000000,2.4M,2400000,256.8K,256800,945,945,380,380
anna..paull,Anna Paul,4.4M,4400000,3.1M,3100000,731.7K,731700,2.1K,2100,474,474
annajobling,anna jobling,477K,477000,4.1M,4100000,482.7K,482700,4.5K,4500,2K,2000
annaxsitar,anna x,11.9M,11900000,3.1M,3100000,454.2K,454200,741,741,424,424
apollolikesblu,Apollolol,3K,3000,702.3K,702300,124.5K,124500,9.5K,9500,2.1K,2100
areyoukiddingtv,Joey and Steven,4.8M,4800000,4.1M,4100000,648.8K,648800,2.5K,2500,316,316
arfaytb,ARFAYTB,372.7K,372700,894.1K,894100,108.7K,108700,456,456,7.6K,7600
argentinidadnovelera,zoe,91.8K,91800,1.8M,1800000,160.5K,160500,953,953,10.8K,10800
arigameplays,AriGameplays,21.5M,21500000,4.9M,4900000,559K,559000,2.7K,2700,2.3K,2300
artbydemarcusshawn,DemarcusShawn,6.1M,6100000,1.8M,1800000,273.8K,273800,2.7K,2700,2.8K,2800
ashmonterooo,ash,8.9K,8900,2.6M,2600000,437.2K,437200,6.6K,6600,15.4K,15400
aubreyandersonemmons,Heyyyy,1.1M,1100000,1.8M,1800000,320.8K,320800,2K,2000,1.8K,1800
augustogimenez,AugustoGimenez,12.5M,12500000,4.4M,4400000,562.8K,562800,1.2K,1200,538,538
aureliehermansyahatta,Aurelie Hermansyah,7.4M,7400000,1.9M,1900000,190.1K,190100,1.4K,1400,1.3K,1300
aurikatariina,ᴀᴜʀɪ ✨,7.4M,7400000,8.9M,8900000,1M,1000000,4K,4000,3.7K,3700
aussiesdoingthings,Aussies Doing Things,2.7M,2700000,1.2M,1200000,170K,170000,602,602,3.6K,3600
aussiesdoingthings,Aussies Doing Things,2.7M,2700000,1.2M,1200000,170K,170000,602,602,3.6K,3600
austenalexander,Austen Alexander,321.4K,321400,1.3M,1300000,125.7K,125700,1.1K,1100,5.2K,5200
avanireyes,Avani 👽,5.1M,5100000,3.5M,3500000,283.6K,283600,1.9K,1900,542,542
awildani13,NgebisOnline,77.2K,77200,3.7M,3700000,498.4K,498400,5.9K,5900,4.4K,4400
ayaatanjali_,Aya😍,5.9M,5900000,1.6M,1600000,303.1K,303100,1.2K,1200,780,780
ayanakamachi,中町綾,1.4M,1400000,3.2M,3200000,206.5K,206500,1K,1000,1.8K,1800
aybukeyim,Aybüke,1.2M,1200000,3.1M,3100000,162.7K,162700,2.1K,2100,500,500
aydenmekus,AYDEN MEKUS,10.5M,10500000,3.6M,3600000,275.4K,275400,8.6K,8600,1.3K,1300
ayesebastien,Sebastien,7.2M,7200000,2M,2000000,396.5K,396500,2.1K,2100,1.8K,1800
aylin.criss,Aylin,17.3M,17300000,2.6M,2600000,385.7K,385700,2.1K,2100,355,355
badbunny,Bad Bunny,22.2M,22200000,48.9M,48900000,9M,9000000,58.4K,58400,96.7K,96700
baimwong,Baim Wong,8.5M,8500000,2.1M,2100000,130.6K,130600,2K,2000,1.9K,1900
bankkamo46_,bankkamo46_🦖,1.3M,1300000,1.5M,1500000,204.7K,204700,1.1K,1100,3K,3000
bara_ze,BARA Ze,2.5M,2500000,1.8M,1800000,118.8K,118800,4.3K,4300,2.4K,2400
barbaracoura,Bárbara Coura,8.8M,8800000,1.5M,1500000,239.7K,239700,1.4K,1400,816,816
basementgang,Basement Gang,5.4M,5400000,2.9M,2900000,256.2K,256200,1.9K,1900,2.7K,2700
bavariamedic,bavaria.medic,489.7K,489700,7.1M,7100000,553.6K,553600,1.6K,1600,3.4K,3400
